entry_time,exit_time,direction,entry_price,exit_price,quantity,lots,initial_stop,final_stop,gross_pnl,costs,net_pnl,return_pct,r_multiple,exit_reason,bars_held,mae,mfe,side,cum_pnl,equity_after
2014-07-25 00:00:00+05:30,2014-08-01 00:00:00+05:30,1,7829.765835351563,7689.6296642527295,75,1.0,7691.167897832296,7691.167897832296,-10510.21283241248,199.42353069820243,-10709.636363110683,-0.011434559535290045,-1.0302833798539934,stop,4,-235.8659330078126,11.1843599609374,LONG,-74107.19618533719,925892.8038146629
2014-08-19 00:00:00+05:30,2014-09-17 00:00:00+05:30,1,7902.580199999999,7969.9057,75,1.0,7768.05673776542,7902.580199999999,5049.412500000062,204.308740339345,4845.1037596607175,0.005232899251078497,0.4802239132790986,supertrend_flip,20,-46.63000468749942,277.6199953125006,LONG,-69262.09242567647,930737.9075743235
2014-11-03 00:00:00+05:30,2014-12-09 00:00:00+05:30,1,8349.820020703124,8348.150056698983,75,1.0,8206.935851888891,8349.820020703124,-125.24730031054787,211.99017832039604,-337.2374786309439,-0.0003623334516478948,-0.031469544543631406,stop,24,-59.5700207031241,277.1301746093759,LONG,-69599.32990430741,930400.6700956926
2015-01-23 00:00:00+05:30,2015-01-30 00:00:00+05:30,1,8829.715785351562,8827.949842194492,75,1.0,8676.331523741681,8829.715785351562,-132.44573678025517,221.46129367803692,-353.90703045829207,-0.0003803813150971747,-0.030764306302248294,stop,4,-54.61617597656186,166.88382402343814,LONG,-69953.2369347657,930046.7630652343
2015-03-04 00:00:00+05:30,2015-03-04 00:00:00+05:30,1,9110.972220703125,8942.291500660873,75,1.0,8944.080316724217,8944.080316724217,-12651.054003168883,224.23899410090286,-12875.292997269786,-0.013843704971173267,-1.028633320155706,stop,0,-217.02202539062455,8.227974609375451,LONG,-82828.52993203548,917171.4700679645
2015-05-04 00:00:00+05:30,2015-05-11 00:00:00+05:30,-1,8228.403794726562,8230.049475485508,75,1.0,8408.659419560476,8228.403794726562,-123.42605692092548,209.62641912789863,-333.05247604882413,-0.0003631300001341562,-0.02463556787613495,stop,5,-127.24659589843759,231.2538923828124,SHORT,-83161.5824080843,916838.4175919157
2015-06-10 00:00:00+05:30,2015-06-18 00:00:00+05:30,-1,8022.545072363281,8186.206323764841,75,1.0,8184.569409882864,8184.569409882864,-12274.593855116973,206.06836889469577,-12480.662224011669,-0.013612717338778455,-1.0270607008862216,stop,6,-164.35482998046882,82.24526767578118,SHORT,-95642.24463209597,904357.755367904
2015-09-07 00:00:00+05:30,2015-09-16 00:00:00+05:30,-1,7684.312927636719,7913.538929934819,75,1.0,7911.956538627093,7911.956538627093,-17191.950172357498,199.596503285383,-17391.54667564288,-0.019230826044686025,-1.0186417620056853,stop,7,-229.586974707031,144.812927636719,SHORT,-113033.79130773885,886966.2086922611
2015-11-10 00:00:00+05:30,2015-11-20 00:00:00+05:30,-1,7876.024577636719,7877.599782552246,75,1.0,8021.918905123018,7876.024577636719,-118.14036866453534,202.67055067092318,-320.8109193354585,-0.0003616946352538736,-0.0293190215011923,stop,6,-30.925617675780813,161.8746752929692,SHORT,-113354.60222707431,886645.3977729257
2015-12-09 00:00:00+05:30,2015-12-15 00:00:00+05:30,-1,7693.9609,7695.49969218,75,1.0,7817.885413726797,7693.9609,-115.40941350001503,199.0766639403351,-314.48607744035013,-0.0003546920541518354,-0.03383630545001648,stop,4,-11.039099999999962,142.91109531250004,SHORT,-113669.08830451466,886330.9116954854
