datetime,equity,exposure
2026-07-21 10:00:00+05:30,968322.3289188931,0
2026-07-21 10:15:00+05:30,968322.3289188931,0
2026-07-21 10:30:00+05:30,968322.3289188931,0
2026-07-21 10:45:00+05:30,968322.3289188931,0
2026-07-21 11:00:00+05:30,968322.3289188931,0
2026-07-21 11:15:00+05:30,968322.3289188931,0
2026-07-21 11:30:00+05:30,968322.3289188931,0
2026-07-21 11:45:00+05:30,968322.3289188931,0
2026-07-21 12:00:00+05:30,968322.3289188931,0
2026-07-21 12:15:00+05:30,968322.3289188931,0
2026-07-21 12:30:00+05:30,968322.3289188931,0
2026-07-21 12:45:00+05:30,968322.3289188931,0
2026-07-21 13:00:00+05:30,968322.3289188931,0
2026-07-21 13:15:00+05:30,968322.3289188931,0
2026-07-21 13:30:00+05:30,968322.3289188931,0
2026-07-21 13:45:00+05:30,968322.3289188931,0
2026-07-21 14:00:00+05:30,968322.3289188931,0
2026-07-21 14:15:00+05:30,968322.3289188931,0
2026-07-21 14:30:00+05:30,968322.3289188931,0
2026-07-21 14:45:00+05:30,968322.3289188931,0
2026-07-21 15:00:00+05:30,968322.3289188931,0
2026-07-21 15:15:00+05:30,968322.3289188931,0
2026-07-22 09:15:00+05:30,968322.3289188931,0
2026-07-22 09:30:00+05:30,968322.3289188931,0
2026-07-22 09:45:00+05:30,968322.3289188931,0
2026-07-22 10:00:00+05:30,968322.3289188931,0
2026-07-22 10:15:00+05:30,968322.3289188931,0
2026-07-22 10:30:00+05:30,968322.3289188931,0
2026-07-22 10:45:00+05:30,968322.3289188931,0
2026-07-22 11:00:00+05:30,968322.3289188931,0
2026-07-22 11:15:00+05:30,968322.3289188931,0
2026-07-22 11:30:00+05:30,968322.3289188931,0
2026-07-22 11:45:00+05:30,968322.3289188931,0
2026-07-22 12:00:00+05:30,968322.3289188931,0
2026-07-22 12:15:00+05:30,968522.024974107,-1
2026-07-22 12:30:00+05:30,968175.579661607,-1
2026-07-22 12:45:00+05:30,967087.024974107,-1
2026-07-22 13:00:00+05:30,968738.997630357,-1
2026-07-22 13:15:00+05:30,967496.497630357,-1
2026-07-22 13:30:00+05:30,967178.079661607,-1
2026-07-22 13:45:00+05:30,969279.857005357,-1
2026-07-22 14:00:00+05:30,969780.247630357,-1
2026-07-22 14:15:00+05:30,969069.857005357,-1
2026-07-22 14:30:00+05:30,967993.607005357,-1
2026-07-22 14:45:00+05:30,967837.747630357,-1
2026-07-22 15:00:00+05:30,965027.357005357,-1
2026-07-22 15:15:00+05:30,965682.4006680055,0
2026-07-23 09:15:00+05:30,965682.4006680055,0
2026-07-23 09:30:00+05:30,965682.4006680055,0
2026-07-23 09:45:00+05:30,965682.4006680055,0
2026-07-23 10:00:00+05:30,965682.4006680055,0
2026-07-23 10:15:00+05:30,965682.4006680055,0
2026-07-23 10:30:00+05:30,965682.4006680055,0
2026-07-23 10:45:00+05:30,965682.4006680055,0
2026-07-23 11:00:00+05:30,965682.4006680055,0
2026-07-23 11:15:00+05:30,965682.4006680055,0
2026-07-23 11:30:00+05:30,965682.4006680055,0
2026-07-23 11:45:00+05:30,965682.4006680055,0
2026-07-23 12:00:00+05:30,965682.4006680055,0
2026-07-23 12:15:00+05:30,965682.4006680055,0
2026-07-23 12:30:00+05:30,969149.5593643249,-1
2026-07-23 12:45:00+05:30,968804.7546768249,-1
2026-07-23 13:00:00+05:30,969755.0867080749,-1
2026-07-23 13:15:00+05:30,968258.8367080749,-1
2026-07-23 13:30:00+05:30,967446.7273330749,-1
2026-07-23 13:45:00+05:30,964619.6734254094,0
2026-07-23 14:00:00+05:30,964619.6734254094,0
2026-07-23 14:15:00+05:30,964619.6734254094,0
2026-07-23 14:30:00+05:30,964619.6734254094,0
2026-07-23 14:45:00+05:30,964619.6734254094,0
2026-07-23 15:00:00+05:30,964619.6734254094,0
2026-07-23 15:15:00+05:30,964619.6734254094,0
2026-07-24 09:15:00+05:30,964619.6734254094,0
2026-07-24 09:30:00+05:30,964619.6734254094,0
2026-07-24 09:45:00+05:30,964619.6734254094,0
2026-07-24 10:00:00+05:30,964619.6734254094,0
2026-07-24 10:15:00+05:30,964619.6734254094,0
2026-07-24 10:30:00+05:30,964619.6734254094,0
2026-07-24 10:45:00+05:30,964619.6734254094,0
2026-07-24 11:00:00+05:30,964619.6734254094,0
2026-07-24 11:15:00+05:30,964619.6734254094,0
2026-07-24 11:30:00+05:30,964619.6734254094,0
2026-07-24 11:45:00+05:30,964619.6734254094,0
2026-07-24 12:00:00+05:30,964619.6734254094,0
2026-07-24 12:15:00+05:30,964619.6734254094,0
2026-07-24 12:30:00+05:30,964619.6734254094,0
2026-07-24 12:45:00+05:30,964619.6734254094,0
2026-07-24 13:00:00+05:30,964619.6734254094,0
2026-07-24 13:15:00+05:30,964619.6734254094,0
2026-07-24 13:30:00+05:30,964619.6734254094,0
2026-07-24 13:45:00+05:30,964619.6734254094,0
2026-07-24 14:00:00+05:30,964619.6734254094,0
2026-07-24 14:15:00+05:30,964619.6734254094,0
2026-07-24 14:30:00+05:30,964619.6734254094,0
2026-07-24 14:45:00+05:30,964619.6734254094,0
2026-07-24 15:00:00+05:30,964619.6734254094,0
2026-07-24 15:15:00+05:30,964619.6734254094,0
2026-07-27 09:15:00+05:30,964619.6734254094,0
2026-07-27 09:30:00+05:30,964619.6734254094,0
2026-07-27 09:45:00+05:30,964619.6734254094,0
2026-07-27 10:00:00+05:30,964619.6734254094,0
2026-07-27 10:15:00+05:30,964619.6734254094,0
2026-07-27 10:30:00+05:30,964619.6734254094,0
2026-07-27 10:45:00+05:30,964619.6734254094,0
2026-07-27 11:00:00+05:30,964619.6734254094,0
2026-07-27 11:15:00+05:30,964619.6734254094,0
2026-07-27 11:30:00+05:30,964619.6734254094,0
2026-07-27 11:45:00+05:30,964619.6734254094,0
2026-07-27 12:00:00+05:30,964619.6734254094,0
2026-07-27 12:15:00+05:30,964619.6734254094,0
2026-07-27 12:30:00+05:30,964619.6734254094,0
2026-07-27 12:45:00+05:30,964619.6734254094,0
2026-07-27 13:00:00+05:30,964619.6734254094,0
2026-07-27 13:15:00+05:30,964619.6734254094,0
2026-07-27 13:30:00+05:30,964619.6734254094,0
2026-07-27 13:45:00+05:30,964619.6734254094,0
2026-07-27 14:00:00+05:30,964619.6734254094,0
2026-07-27 14:15:00+05:30,964619.6734254094,0
2026-07-27 14:30:00+05:30,964619.6734254094,0
2026-07-27 14:45:00+05:30,964619.6734254094,0
2026-07-27 15:00:00+05:30,964619.6734254094,0
2026-07-27 15:15:00+05:30,964619.6734254094,0
2026-07-28 09:15:00+05:30,964619.6734254094,0
2026-07-28 09:30:00+05:30,964619.6734254094,0
2026-07-28 09:45:00+05:30,964619.6734254094,0
2026-07-28 10:00:00+05:30,964619.6734254094,0
2026-07-28 10:15:00+05:30,964619.6734254094,0
2026-07-28 10:30:00+05:30,964619.6734254094,0
2026-07-28 10:45:00+05:30,964619.6734254094,0
2026-07-28 11:00:00+05:30,964619.6734254094,0
2026-07-28 11:15:00+05:30,964619.6734254094,0
2026-07-28 11:30:00+05:30,964619.6734254094,0
2026-07-28 11:45:00+05:30,964619.6734254094,0
2026-07-28 12:00:00+05:30,964619.6734254094,0
2026-07-28 12:15:00+05:30,964619.6734254094,0
2026-07-28 12:30:00+05:30,964619.6734254094,0
2026-07-28 12:45:00+05:30,964619.6734254094,0
2026-07-28 13:00:00+05:30,964619.6734254094,0
2026-07-28 13:15:00+05:30,964619.6734254094,0
2026-07-28 13:30:00+05:30,964619.6734254094,0
2026-07-28 13:45:00+05:30,964619.6734254094,0
2026-07-28 14:00:00+05:30,964619.6734254094,0
2026-07-28 14:15:00+05:30,964619.6734254094,0
2026-07-28 14:30:00+05:30,964619.6734254094,0
2026-07-28 14:45:00+05:30,964619.6734254094,0
2026-07-28 15:00:00+05:30,964619.6734254094,0
2026-07-28 15:15:00+05:30,964619.6734254094,0
2026-07-29 09:15:00+05:30,964619.6734254094,0
2026-07-29 09:30:00+05:30,964619.6734254094,0
2026-07-29 09:45:00+05:30,964619.6734254094,0
2026-07-29 10:00:00+05:30,964619.6734254094,0
2026-07-29 10:15:00+05:30,961427.7471951917,1
2026-07-29 10:30:00+05:30,962785.7745389417,1
2026-07-29 10:45:00+05:30,961709.5245389417,1
2026-07-29 11:00:00+05:30,963464.8565701917,1
2026-07-29 11:15:00+05:30,962866.3018826917,1
2026-07-29 11:30:00+05:30,963844.5245389417,1
2026-07-29 11:45:00+05:30,964288.9971951917,1
2026-07-29 12:00:00+05:30,966872.0245389417,1
2026-07-29 12:15:00+05:30,965137.7471951917,1
2026-07-29 12:30:00+05:30,965283.0792264417,1
2026-07-29 12:45:00+05:30,964549.8565701917,1
2026-07-29 13:00:00+05:30,966277.0245389417,1
2026-07-29 13:15:00+05:30,965127.3565701917,1
2026-07-29 13:30:00+05:30,963235.5792264417,1
2026-07-29 13:45:00+05:30,964859.5245389417,1
2026-07-29 14:00:00+05:30,966971.8292264417,1
2026-07-29 14:15:00+05:30,968044.5245389417,1
2026-07-29 14:30:00+05:30,967078.6065701917,1
2026-07-29 14:45:00+05:30,967782.0245389417,1
2026-07-29 15:00:00+05:30,965473.8018826917,1
2026-07-29 15:15:00+05:30,963748.5918888482,0
2026-07-30 09:15:00+05:30,963748.5918888482,0
2026-07-30 09:30:00+05:30,963748.5918888482,0
2026-07-30 09:45:00+05:30,963748.5918888482,0
2026-07-30 10:00:00+05:30,963748.5918888482,0
2026-07-30 10:15:00+05:30,963748.5918888482,0
2026-07-30 10:30:00+05:30,963748.5918888482,0
2026-07-30 10:45:00+05:30,963748.5918888482,0
2026-07-30 11:00:00+05:30,963748.5918888482,0
2026-07-30 11:15:00+05:30,963748.5918888482,0
2026-07-30 11:30:00+05:30,963748.5918888482,0
2026-07-30 11:45:00+05:30,963748.5918888482,0
2026-07-30 12:00:00+05:30,963748.5918888482,0
2026-07-30 12:15:00+05:30,963748.5918888482,0
2026-07-30 12:30:00+05:30,963748.5918888482,0
2026-07-30 12:45:00+05:30,963748.5918888482,0
2026-07-30 13:00:00+05:30,963748.5918888482,0
2026-07-30 13:15:00+05:30,963748.5918888482,0
2026-07-30 13:30:00+05:30,963748.5918888482,0
2026-07-30 13:45:00+05:30,963748.5918888482,0
2026-07-30 14:00:00+05:30,963748.5918888482,0
2026-07-30 14:15:00+05:30,963748.5918888482,0
2026-07-30 14:30:00+05:30,963748.5918888482,0
2026-07-30 14:45:00+05:30,963748.5918888482,0
2026-07-30 15:00:00+05:30,963748.5918888482,0
2026-07-30 15:15:00+05:30,963748.5918888482,0
2026-07-31 09:15:00+05:30,963748.5918888482,0
2026-07-31 09:30:00+05:30,963748.5918888482,0
2026-07-31 09:45:00+05:30,963748.5918888482,0
2026-07-31 10:00:00+05:30,963748.5918888482,0
2026-07-31 10:15:00+05:30,963748.5918888482,0
2026-07-31 10:30:00+05:30,963748.5918888482,0
2026-07-31 10:45:00+05:30,963748.5918888482,0
2026-07-31 11:00:00+05:30,963748.5918888482,0
2026-07-31 11:15:00+05:30,963748.5918888482,0
2026-07-31 11:30:00+05:30,963748.5918888482,0
2026-07-31 11:45:00+05:30,963748.5918888482,0
2026-07-31 12:00:00+05:30,963748.5918888482,0
2026-07-31 12:15:00+05:30,963748.5918888482,0
2026-07-31 12:30:00+05:30,963748.5918888482,0
2026-07-31 12:45:00+05:30,963748.5918888482,0
2026-07-31 13:00:00+05:30,963748.5918888482,0
2026-07-31 13:15:00+05:30,963748.5918888482,0
2026-07-31 13:30:00+05:30,963748.5918888482,0
